time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
159.5999999999994,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.7,惰行,0.1,70.0,0.0,5.09,12.3,44.0,18.4,1.23,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方44.3m先を0.0km/h,後続列車なし,60.0,15.0,未発車,60.0,11.5,22.6,-0.05
172.29999999999907,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.9999999999999999,惰行,0.1,70.0,0.0,0,70.0,45.6,5.7,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方46.0m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,11.8,5.3,-0.05
161.89999999999876,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.1,力行（加速）,0.7999999999999999,70.0,4.5,2.23,18.3,50.6,16.1,0.24,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方51.0m先を0.0km/h,後続列車なし,90.0,20.1,未発車,30.0,12.4,0.0,-0.05
164.6999999999987,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,3.800000000000002,力行（加速）,0.7999999999999999,70.0,6.9,0,70.0,51.9,13.3,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方52.3m先を0.0km/h,後続列車なし,90.0,17.3,未発車,30.0,12.5,0.0,-0.05
177.0999999999988,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.4,力行（加速）,0.1,70.0,0.0,0,70.0,45.6,0.9,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方46.0m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,11.8,10.1,-0.05
174.49999999999935,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,6.499999999999993,力行（加速）,0.1,70.0,0.0,0,70.0,46.8,3.5,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方47.2m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,11.9,7.5,-0.05
151.69999999999985,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.9000000000000006,力行（加速）,0.1,70.0,24.1,25.7,25.7,77.1,26.3,31.3,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方77.5m先を0.0km/h,後続列車なし,60.0,15.0,未発車,60.0,15.7,14.7,-0.05
174.69999999999985,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.4000000000000001,力行（加速）,0.7999999999999999,70.0,30.3,25.96,70.0,72.5,5.3,31.95,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方93.4m先を17.8km/h,後続列車なし,60.0,0.0,発車済み,60.0,70.0,0.0,-0.05
163.59999999999923,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.1,力行（加速）,0.7,70.0,8.1,2.15,70.0,52.7,14.4,0.22,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方53.1m先を0.0km/h,後続列車なし,90.0,18.4,未発車,30.0,12.6,0.0,-0.05
145.4999999999998,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.8000000000000005,惰行,0.1,70.0,22.1,19.9,19.9,72.8,32.5,18.82,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方73.1m先を0.0km/h,後続列車なし,90.0,36.5,未発車,30.0,14.9,0.0,-0.05
154.19999999999908,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,0.6,ブレーキ（減速）,3.5000000000000018,70.0,9.4,1.41,12.0,53.9,23.8,0.09,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方54.2m先を0.0km/h,後続列車なし,90.0,27.8,未発車,30.0,12.8,0.0,-0.05
157.89999999999972,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.9999999999999999,惰行,0.4,70.0,18.8,16.66,16.7,66.3,20.1,13.2,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方66.7m先を0.0km/h,後続列車なし,90.0,24.1,未発車,30.0,14.2,0.0,-0.05
